compound_name,SMILES
mptp,CN1CC=C(c2ccccc2)CC1
danitracen,CN1CCC(=C2c3ccccc3C(O)c3ccccc32)CC1
pizotifen,CN1CCC(=C2c3ccccc3CCc3sccc32)CC1
clopipazan,CN1CCC(=C2c3ccccc3Oc3ccc(Cl)cc32)CC1
pimethixene,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1
dimelazine,CN1CCC(C)(CN2c3ccccc3Sc3ccccc32)C1
hepzidine,CN1CCC(OC2c3ccccc3CCc3ccccc32)CC1
eptazocine,CN1CCC2(C)CC(Cc3ccc(O)cc32)C1
paramorfan,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5
desomorphine,CN1CCC23c4c5ccc(O)c4OC2CCCC3C1C5
setiptiline,CN1CCC2=C(C1)c1ccccc1Cc1ccccc12
citatepine,CN1CCC2=C(CC1)c1cc(C#N)ccc1Sc1ccccc12
erizepine,CN1CCC2=C(CC1)c1ccccc1N(C)c1ccccc12
maroxepin,CN1CCC2=C(CC1)c1ccccc1Oc1ccccc12
pecazine,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
homochlorcyclizine,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
dabelotine,CN1CCCc2cccc(OCC3CNCCO3)c21
loprazolam,CN1CCN(/C=C2\N=C3CN=C(c4ccccc4Cl)c4cc([N+](=O)[O-])ccc4N3C2=O)CC1
sankyo,CN1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1
suriclone,CN1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1
chlorcyclizine,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
schembl11084330,CN1CCN(C2=Cc3cc(Cl)ccc3/C(=C\C#N)c3ccccc32)CC1
oxacillin,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
fluperlapine,CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1
perlapine,CN1CCN(C2=Nc3ccccc3Cc3ccccc32)CC1
clothiapine (clotiapine),CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1
pentiapine,CN1CCN(C2=Nc3ccccc3Sc3nccn32)CC1
tenilapine,CN1CCN(C2=Nc3cscc3/C(=C/C#N)c3cscc32)CC1
clorotepine,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1
mazipredone,CN1CCN(CC(=O)[C@@]2(O)CC[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@@]32C)CC1
trans-thiothixene,CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
ftormetazine,CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
phenobarbital,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
thioproperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1
imiclopazine,CN1CCN(CCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)C1=O
pipofezine,CN1CCN(c2cc3c(nn2)Oc2ccccc2N3C)CC1
sifaprazine,CN1CCN(c2ccccc2Cc2ccccc2)CC1
sipatrigine,CN1CCN(c2ncc(-c3cc(Cl)cc(Cl)c3Cl)c(N)n2)CC1
timelotem,CN1CCN2c3cc(F)ccc3C(c3cccs3)=NCC2C1
aptazapine maleate,CN1CCN2c3ccccc3Cn3cccc3C2C1
medazepam,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21
nefopam,CN1CCOC(c2ccccc2)c2ccccc2C1
7-k06,CN1CC[C@@H]2c3cc(Cl)ccc3Oc3ccccc3[C@H]2C1
quilostigmine,CN1CC[C@@]2(C)c3cc(OC(=O)N4CCc5ccccc5C4)ccc3N(C)[C@@H]12
dextrorphan,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13
lortalamine,CN1CC[C@]23NC(=O)CC(c4cc(Cl)ccc4O2)C3C1
metopon,CN1CC[C@]23c4c5ccc(O)c4O[C@@]2(C)C(=O)CC[C@H]3[C@H]1C5
hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(O)C=C[C@H]3[C@H]1C5
hydromorphinol,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@@]3(O)[C@H]1C5
nicomorphine,CN1CC[C@]23c4c5ccc(OC(=O)c6cccnc6)c4O[C@H]2[C@@H](OC(=O)c2cccnc2)C=C[C@H]3[C@H]1C5
berupipam,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2cc(Br)cc3c2OCC3)C1
odapipam acetate,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2cccc3c2OCC3)C1
apomorphine,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
delergotrile,CN1C[C@@H](CC#N)CC2c3cccc4[nH]cc(c34)C[C@H]21
mesulergine,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21
losindole,CN1C[C@@H]2[C@@H](Cc3ccc(Cl)cc3[C@H]2c2ccccc2)C1
org5222,CN1C[C@@H]2c3cc(Cl)ccc3Oc3ccccc3[C@@H]2C1
romergoline,CN1C[C@H](CN2CC(=O)NC(=O)C2)C=C2c3cccc4[nH]cc(c34)C[C@H]21
nomifensine,CN1Cc2c(N)cccc2C(c2ccccc2)C1
granisetron,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2
ricasetron,CN1[C@H]2CC[C@@H]1CC(NC(=O)N1CC(C)(C)c3ccccc31)C2
mirisetron,CN1[C@H]2CC[C@@H]1CC(NC(=O)c1cn(C3CCCCC3)c3ccccc3c1=O)C2
lufuradom,CN1c2cc(F)ccc2C(c2ccccc2)=NCC1CNC(=O)c1ccoc1
tianeptine,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O
tuclazepam,CN1c2ccccc2C(c2ccccc2Cl)=NCC1(Cl)CO
tifluadom,CN1c2ccccc2C(c2ccccc2F)=NCC1CNC(=O)c1ccsc1
napactadine hydrochloride,CN=C(Cc1ccc2ccccc2c1)NC
sertraline,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
clothixamide,CNC(=O)CCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1
fluzinamide,CNC(=O)N1CC(Oc2cccc(C(F)(F)F)c2)C1
mecloralurea,CNC(=O)NC(O)C(Cl)(Cl)Cl
moxadolen,CNC(=O)O[C@H]1OC(=O)[C@]2(C)[C@@H]3C=C[C@@H](C3)[C@H]12
nomelidine,CNC/C=C(/c1ccc(Br)cc1)c1cccnc1
ketamine,CNC1(c2ccccc2Cl)CCCCC1=O
schembl1237910,CNC1CCC(c2ccccc2)c2ccccc21
ciclopramine,CNC1CCN2c3ccccc3CCc3cccc1c32
etrabamine,CNC1CCc2ncsc2C1
metapramine,CNC1Cc2ccccc2N(C)c2ccccc21
benzoctamine,CNCC12CCC(c3ccccc31)c1ccccc12
duloxetine,CNCCC(Oc1cccc2ccccc12)c1cccs1
nisoxetine,CNCCC(Oc1ccccc1OC)c1ccccc1
litracen,CNCCC=C1c2ccccc2C(C)(C)c2ccccc21
octriptyline,CNCCC=C1c2ccccc2C2CC2c2ccccc21
amedalin,CNCCCC1(C)C(=O)N(c2ccccc2)c2ccccc21
daledalin,CNCCCC1(C)CN(c2ccccc2)c2ccccc21
talopram,CNCCCC1(c2ccccc2)OC(C)(C)c2ccccc21
protriptyline,CNCCCC1c2ccccc2C=Cc2ccccc21
bifemelane,CNCCCCOc1ccccc1Cc1ccccc1
mezepine,CNCCCN1Cc2ccccc2Cc2ccccc21
monometacrine,CNCCCN1c2ccccc2C(C)(C)c2ccccc21
tofenacin,CNCCOC(c1ccccc1)c1ccccc1C
demexiptiline,CNCCON=c1c2ccccc2ccc2ccccc12
fluradoline,CNCCSC1=Cc2cc(F)ccc2Oc2ccccc21
tomoxetine,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
almoxatone,CNC[C@@H]1CN(c2ccc(OCc3cccc(Cl)c3)cc2)C(=O)O1
levoprotiline,CNC[C@H](O)CC12CCC(c3ccccc31)c1ccccc12
,CNO.Cc1oc(C(C)(C)N(C(C)(C)N)C(C)(C)N)c(C)c1C
indatraline,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
nemonapride,CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl
mezilamine,CNc1nc(Cl)c(SC)c(N2CCN(C)CC2)n1
cefuroxime,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1
ceftriaxone,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1
schembl13576356,CO/N=C(/C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@@H]12)c1csc(N)n1
milameline,CO/N=C\C1=CCCN(C)C1
arecoline,COC(=O)C1=CCCN(C)C1
metoserpate,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC)C1OC
gr89696,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1
oxisopred,COC(=O)[C@@]1(O)CC[C@H]2C3CCC(=O)C4C(=O)C=CC4(C)[C@H]3C(O)CC21C
rescinnamine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
reserpine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
chloroserpidine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccc(Cl)cc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
deserpidine,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
dimethyl terephthalate,COC(=O)c1ccc(C(=O)OC)cc1
metomidate,COC(=O)c1cncn1C(C)c1ccccc1
roflurane,COC(F)(F)C(F)Br
flumoxonide,COC(OC)C(=O)[C@@]12OC(C)(C)O[C@@H]1CC1C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC12C
aliflurane,COC1(F)C(F)(F)C1(F)Cl
cyprenorphine,COC12C=CC3(CC1C(C)(C)O)[C@@H]1Cc4ccc(O)c5c4[C@]3(CCN1CC1CC1)[C@@H]2O5
losigamone,COC1=CC(=O)OC1C(O)c1ccccc1Cl
thebaine,COC1=CC=C2[C@H]3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5
ocfentanil,COCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1
cimoxatone,COCC1CN(c2ccc(OCc3cccc(C#N)c3)cc2)C(=O)O1
metaclazepam,COCC1CN=C(c2ccccc2Cl)c2cc(Br)ccc2N1C
clovoxamine,COCCCC/C(=N/OCCN)c1ccc(Cl)cc1
semorphone,COCCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
motrazepam,COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21
befloxatone,COC[C@H]1CN(c2ccc(OCC[C@@H](O)C(F)(F)F)cc2)C(=O)O1
gedocarnil,COCc1c(C(=O)OC(C)C)ncc2[nH]c3cccc(Oc4ccc(Cl)cc4)c3c12
cerivastatin,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
sabcomeline,CON=C(C#N)C1CN2CCC1CC2
valperinol,CO[C@@H]1O[C@H]2O[C@]3(CN4CCCCC4)[C@@H](O)C[C@@H]([C@H]13)[C@H]2C
plicamycin,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1
dihydroheterocodeine,CO[C@H]1CC[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5
diprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
cinoctramide,COc1cc(/C=C/C(=O)N2CCCCCCC2)cc(OC)c1OC
cintriamide,COc1cc(/C=C/C(N)=O)cc(OC)c1OC
brofaromine,COc1cc(Br)c2oc(C3CCNCC3)cc2c1
roletamide,COc1cc(C(=O)/C=C/N2CC=CC2)cc(OC)c1OC
trocimine,COc1cc(C(=O)N2CCCCCCC2)cc(OC)c1OC
trimetozine,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC
metofenazate,COc1cc(C(=O)OCCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)cc(OC)c1OC
iloperidone,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
mescaline,COc1cc(CCN)cc(OC)c1OC
teniposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](OC3OC5COC(c6cccs6)OC5C(O)C3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
oxypertine,COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC
milipertine,COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4OC)CC3)c2cc1OC
9-c15,COc1cc2c(c(CN[C@@H]3CCCN[C@H]3c3ccccc3)c1)OCC2
nerisopam,COc1cc2c(cc1OC)C(c1ccc(N)cc1)=NN=C(C)C2
girisopam,COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NN=C(C)C2
tetrabenazine (tetrabenzine),COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
tisocromide,COc1cc2c(cc1OC)S(=O)(=O)OC(C(=O)NC(C)CC(C)(C)N(C)C)C2
trepipam (trimopam),COc1cc2c(cc1OC)[C@@H](c1ccccc1)CN(C)CC2
glaziovine,COc1cc2c3c(c1O)C1(C=CC(=O)C=C1)CC3N(C)CC2
ensaculin,COc1cc2oc(=O)c(C)c(C)c2cc1OCCCN1CCN(c2ccccc2OC)CC1
prideperone,COc1ccc(C#N)cc1C(=O)NCCN1CCC(C(=O)c2ccc(F)cc2)CC1
aniracetam,COc1ccc(C(=O)N2CCCC2=O)cc1
tamolarizine,COc1ccc(C(O)CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1OC
brn 0626697,COc1ccc(CCN2CCN(c3cccc(Cl)c3)CC2)cc1OC
lometraline,COc1ccc(Cl)c2c1CCCC2N(C)C
hydroxindasol,COc1ccc(Cn2c(C)c(CCN)c3cc(O)ccc32)cc1
panamesine,COc1ccc(N2C[C@H](CN3CCC(O)(c4ccc5c(c4)OCO5)CC3)OC2=O)cc1
femoxetine [inn],COc1ccc(OCC2CN(C)CCC2c2ccccc2)cc1
sulmepride,COc1ccc(S(N)(=O)=O)cc1C(=O)NCC1CCCN1C
flubepride,COc1ccc(S(N)(=O)=O)cc1C(=O)NCC1CCCN1Cc1ccc(F)cc1
ciladopa,COc1ccc([C@H](O)CN2CCN(c3cccccc3=O)CC2)cc1OC
mindoperone,COc1ccc2c(C3CCN(CCCC(=O)c4ccc(F)cc4)CC3)c(C)[nH]c2c1
dimeprozan,COc1ccc2c(c1)/C(=C/CCN(C)C)c1ccccc1O2
metoxepin,COc1ccc2c(c1)C(N1CCN(C)CC1)=Cc1ccccc1O2
meprotixol,COc1ccc2c(c1)C(O)(CCCN(C)C)c1ccccc1S2
diclofensine,COc1ccc2c(c1)CN(C)CC2c1ccc(Cl)c(Cl)c1
perimetazine,COc1ccc2c(c1)N(CC(C)CN1CCC(O)CC1)c1ccccc1S2
oxyridazine,COc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
methopromazine,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
methotrimeprazine,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
metralindole,COc1ccc2c(c1)c1c3n2CCN(C)C3=NCC1
noscapine,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C
drotebanol,COc1ccc2c(c1OC)[C@]13CCN(C)[C@H](C2)[C@]1(O)CC[C@@H](O)C3
n-norcodeine,COc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341
"morphinan-6-ol, 4,5-epoxy-3-methoxy-17-methyl-, 3-pyridinecarboxylate (ester), (5.alpha.,6.alpha.)-",COc1ccc2c3c1OC1C(OC(=O)c4cccnc4)CCC4C(C2)N(C)CCC341
thebacon,COc1ccc2c3c1OC1C(OC(C)=O)=CCC4C(C2)N(C)CCC314
tropapride,COc1cccc(C(=O)NC2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1OC
enciprazine,COc1ccccc1N1CCN(CC(O)COc2cc(OC)c(OC)c(OC)c2)CC1
fluanisone,COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1
anisopirol,COc1ccccc1N1CCN(CCCC(O)c2ccc(F)cc2)CC1
zoloperone,COc1ccccc1N1CCN(CCc2oc(=O)[nH]c2-c2ccc(F)cc2)CC1
methocarbamol,COc1ccccc1OCC(O)COC(N)=O
mephenoxalone,COc1ccccc1OCC1CNC(=O)O1
taniplon,COc1nc2nc(-c3noc(C)n3)cn2c2c1CCCC2
fosazepam,CP(C)(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
florfenicol,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1
thiamphenicol,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1
metopimazine,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2
timobesone,CSC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
dtxsid201000603,CSC(=O)C1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3(F)[C@@H](O)C[C@@]21C
69217-67-0,CSCC[C@H](NC(C)=O)C(=O)Oc1ccc(NC(C)=O)cc1
iprozilamine,CSc1c(Cl)nc(NC(C)C)nc1N1CCN(C)CC1
metitepine(methiothepin),CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
methiomeprazine(levometiomeprazine),CSc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
meclorisone(meclorisone-dibutyrate),C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(Cl)C(Cl)CC2(C)[C@@]1(O)C(=O)CO
chembl63427,C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(Cl)C(O)CC2(C)C1C(=O)CO
clocortolone-pivalate,C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(Cl)C(O)CC2(C)C1C(=O)COC(=O)C(C)(C)C
diflucortolonum [inn-latin],C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC2(C)C1C(=O)CO
halometasone,C[C@@H]1CC2[C@@H]3C[C@H](F)C4=CC(=O)C(Cl)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
oxazolam,C[C@@H]1CN2CC(=O)Nc3ccc(Cl)cc3[C@]2(c2ccccc2)O1
locacorten,C[C@@H]1C[C@H]2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)CC2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C
mometasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl
dimesone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(C)C(=O)CO
desoximetasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
halocortolone,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)C3(Cl)[C@@H](F)C[C@]2(C)[C@H]1C(=O)CO
flumethasone(flumetasoneanddiflorasone),C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
diflucortolone pivalate,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C
paramethasone,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
fluocortolone,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
meclonazepam,C[C@@H]1N=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O
cathinone,C[C@H](N)C(=O)c1ccccc1
"dextroamphetamine, dexedrine",C[C@H](N)Cc1ccccc1
gacyclidine,C[C@H]1CCCC[C@@]1(c1cccs1)N1CCCCC1
clobetasone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(=O)C[C@]2(C)[C@@]1(O)C(=O)CCl
betamethasone-benzoate,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO
meprednisone,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO
methylprednisolone hemisuccinate,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
phendimetrazine,C[C@H]1[C@H](c2ccccc2)OCCN1C
fluotracen,C[C@H]1c2ccccc2[C@@H](CCCN(C)C)c2cc(C(F)(F)F)ccc21
halopredone(halopredone-acetate),C[C@]12C=C(Br)C(=O)C=C1[C@H](F)C[C@H]1[C@@H]3CCC(O)(C(=O)CO)[C@@]3(C)C[C@H](O)C12F
naflocort hydrate,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@H]1Cc3ccccc3C[C@]12C(=O)CO
fluocinolone,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO
cloprednol,C[C@]12C[C@H](O)[C@H]3[C@@H](C=C(Cl)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
prednisolone hemisuccinate,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O
hydrocortisone-hemisuccinate,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O
tixocortol,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CS
fluprednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
choline,C[N+](C)(C)CCO
schembl2734225,C[N+](C)([O-])CC/C=C1/c2ccccc2C=Cc2c(Cl)cccc21
amitriptylinoxide,C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21
imipraminoxide,C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21
atropine oxide,C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
s-adenosyl-l-methionine,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
harmalol,Cc1[nH]ccc2c1[nH]c1cc(=O)ccc12
razobazam,Cc1[nH]nc2c1N(c1ccccc1)C(=O)CC(=O)N2C
vitamine(alpha-tocopherol),Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
atibeprone,Cc1c(C)c2ccc(OCc3nnc(C(C)C)s3)cc2oc1=O
premazepam,Cc1c2c(cn1C)NC(=O)CN=C2c1ccccc1
moxiraprine,Cc1cc(-c2ccc(O)cc2)nnc1NCCN1CCOCC1
brosotamide,Cc1cc(Br)cc(C(N)=O)c1O
isocarboxazid,Cc1cc(C(=O)NNCc2ccccc2)no1
omeprazole,Cc1cc(C(C)(C)SC(C)(C)CNc2[nH]ccc2[N+](=O)[O-])nc(C)c1C
cetohexazine,Cc1cc(C)c(=O)[nH]n1
metaxalone,Cc1cc(C)cc(OCC2CNC(=O)O2)c1
mepiprazole,Cc1cc(CCN2CCN(c3cccc(Cl)c3)CC2)n[nH]1
amiflamine,Cc1cc(N(C)C)ccc1C[C@H](C)N
soretolide,Cc1cc(NC(=O)c2c(C)cccc2C)no1
flumezapine,Cc1cc2c(s1)Nc1ccc(F)cc1N=C2N1CCN(C)CC1
moperone,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1
delfaprazine,Cc1ccc(Cc2ccccc2)c(N2CCNCC2)c1
tolufazepam,Cc1ccc(S(=O)(=O)CCN2C(=O)CN=C(c3ccccc3Cl)c3cc(Cl)ccc32)cc1
metiapine,Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1ccccc1S2
dicarbine,Cc1ccc2c(c1)C1CN(C)CCC1N2
dimemorfan,Cc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3
pirlindole,Cc1ccc2c(c1)c1c3n2CCNC3CCC1
