drug_name,max_phase,molecule_type,therapeutic_flag,target_chembl_id,target_name,target_gene,mechanism
CONIVAPTAN HYDROCHLORIDE,4,Small molecule,1,,Vasopressin V2 receptor,AVPR2,ANTAGONIST
COPANLISIB,4,Small molecule,1,,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,INHIBITOR
COPANLISIB,4,Small molecule,1,,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",PIK3CD,INHIBITOR
COPANLISIB HYDROCHLORIDE,4,Small molecule,1,,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,INHIBITOR
COPANLISIB HYDROCHLORIDE,4,Small molecule,1,,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",PIK3CD,INHIBITOR
CORTISONE ACETATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
CORTIVAZOL,2,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
CRINECERFONT,4,Small molecule,1,,Corticotropin-releasing factor receptor 1,CRHR1,ANTAGONIST
CRISABOROLE,4,Small molecule,1,,Phosphodiesterase 4,PDE4D,INHIBITOR
CRIZOTINIB,4,Small molecule,1,,ALK tyrosine kinase receptor,ALK,INHIBITOR
CRIZOTINIB,4,Small molecule,1,,EML4-ALK,EML4,INHIBITOR
CRIZOTINIB,4,Small molecule,1,,Hepatocyte growth factor receptor,MET,INHIBITOR
CRIZOTINIB,4,Small molecule,1,,Macrophage-stimulating protein receptor,MST1R,INHIBITOR
CRIZOTINIB,4,Small molecule,1,,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor),NPM1,INHIBITOR
CRIZOTINIB,4,Small molecule,1,,Proto-oncogene tyrosine-protein kinase ROS,ROS1,INHIBITOR
CROFELEMER,4,Small molecule,1,,Anoctamin-1,ANO1,BLOCKER
CROFELEMER,4,Small molecule,1,,Cystic fibrosis transmembrane conductance regulator,CFTR,INHIBITOR
CYCLACILLIN,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
CYCLIZINE LACTATE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
CYCLOBENZAPRINE HYDROCHLORIDE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
CYCLOBENZAPRINE HYDROCHLORIDE,4,Small molecule,1,,5-hydroxytryptamine receptor 2C,HTR2C,ANTAGONIST
CYCLOFENIL,4,Small molecule,1,,Estrogen receptor,ESR2,MODULATOR
CYCLOPENTOLATE HYDROCHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
CYCLOPHOSPHAMIDE,4,Small molecule,1,,DNA,,INHIBITOR
CYCLOSERINE,4,Small molecule,1,,Alanine racemase,alr,INHIBITOR
CYCLOSERINE,4,Small molecule,1,,D-alanine--D-alanine ligase,ddl,INHIBITOR
CYCLOTHIAZIDE,4,Small molecule,1,,Solute carrier family 12 member 3,SLC12A3,INHIBITOR
CYCRIMINE HYDROCHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
CYPROHEPTADINE HYDROCHLORIDE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
CYPROTERONE ACETATE,3,Small molecule,1,,Androgen receptor,AR,ANTAGONIST
CYPROTERONE ACETATE,3,Small molecule,1,,Glucocorticoid receptor,NR3C1,ANTAGONIST
CYPROTERONE ACETATE,3,Small molecule,1,,Progesterone receptor,PGR,AGONIST
CYSTEAMINE BITARTRATE,4,Small molecule,1,,Cystine,,REDUCING AGENT
CYSTEAMINE HYDROCHLORIDE,4,Small molecule,1,,Cystine,,REDUCING AGENT
CYTARABINE,4,Small molecule,1,,DNA,,INHIBITOR
CYTARABINE,4,Small molecule,1,,DNA polymerase (alpha/delta/epsilon),PRIM2,INHIBITOR
CYTARABINE,4,Small molecule,1,,RNA,,INHIBITOR
DABIGATRAN ETEXILATE MESYLATE,4,Small molecule,1,,Prothrombin,F2,INHIBITOR
DABRAFENIB MESYLATE,4,Small molecule,1,,Serine/threonine-protein kinase B-raf,BRAF,INHIBITOR
DACARBAZINE,4,Small molecule,1,,DNA,,INHIBITOR
DACLATASVIR DIHYDROCHLORIDE,4,Small molecule,1,,Nonstructural protein 5A,NS5A,INHIBITOR
DACOMITINIB,4,Small molecule,1,,Epidermal growth factor receptor,EGFR,INHIBITOR
DACOMITINIB,4,Small molecule,1,,Receptor tyrosine-protein kinase erbB-2,ERBB2,INHIBITOR
DACOMITINIB,4,Small molecule,1,,Receptor tyrosine-protein kinase erbB-4,ERBB4,INHIBITOR
DACOMITINIB ANHYDROUS,4,Small molecule,1,,Epidermal growth factor receptor,EGFR,INHIBITOR
DACOMITINIB ANHYDROUS,4,Small molecule,1,,Receptor tyrosine-protein kinase erbB-2,ERBB2,INHIBITOR
DACOMITINIB ANHYDROUS,4,Small molecule,1,,Receptor tyrosine-protein kinase erbB-4,ERBB4,INHIBITOR
DALFAMPRIDINE,4,Small molecule,1,,Voltage-gated potassium channel,KCNV2,BLOCKER
DALFOPRISTIN,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
DANAZOL,4,Small molecule,1,,Androgen receptor,AR,AGONIST
DANAZOL,4,Small molecule,1,,Progesterone receptor,PGR,AGONIST
DANICOPAN,4,Small molecule,1,,Complement factor D,CFD,INHIBITOR
DANTROLENE SODIUM,4,Small molecule,1,,Ryanodine receptor 1,RYR1,ANTAGONIST
DANTROLENE SODIUM,4,Small molecule,1,,Ryanodine receptor 3,RYR3,ANTAGONIST
DAPAGLIFLOZIN,4,Small molecule,1,,Sodium/glucose cotransporter 2,SLC5A2,INHIBITOR
DAPAGLIFLOZIN PROPANEDIOL,4,Small molecule,1,,Sodium/glucose cotransporter 2,SLC5A2,INHIBITOR
DAPIPRAZOLE HYDROCHLORIDE,4,Small molecule,1,,Alpha-1A adrenergic receptor,ADRA1A,ANTAGONIST
DAPOXETINE,3,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
DAPRODUSTAT,4,Small molecule,1,,Hypoxia-inducible factor prolyl hydroxylase,P4HTM,INHIBITOR
DAPSONE,4,Small molecule,1,,Dihydropteroate synthase,folP1,INHIBITOR
DAPTOMYCIN,4,Small molecule,1,,Cell membrane,,INHIBITOR
DARIDOREXANT,4,Small molecule,1,,Orexin receptor,HCRTR2,ANTAGONIST
DARIDOREXANT HYDROCHLORIDE,4,Small molecule,1,,Orexin receptor type 2,HCRTR2,ANTAGONIST
DARIDOREXANT HYDROCHLORIDE,4,Small molecule,1,,Orexin/Hypocretin receptor type 1,HCRTR1,ANTAGONIST
DARIFENACIN HYDROBROMIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M2,CHRM2,ANTAGONIST
DARIFENACIN HYDROBROMIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
DAROLUTAMIDE,4,Small molecule,1,,Androgen receptor,AR,ANTAGONIST
DARUNAVIR,4,Small molecule,1,,Human immunodeficiency virus type 1 protease,pol,INHIBITOR
DARUNAVIR ETHANOLATE,4,Small molecule,1,,Human immunodeficiency virus type 1 protease,pol,INHIBITOR
DASABUVIR SODIUM MONOHYDRATE,4,Small molecule,1,,RNA-directed RNA polymerase,NS5b,INHIBITOR
DASATINIB,4,Small molecule,1,,Bcr/Abl fusion protein,BCR,INHIBITOR
DASATINIB ANHYDROUS,4,Small molecule,1,,Bcr/Abl fusion protein,BCR,INHIBITOR
DASATINIB ANHYDROUS,4,Small molecule,1,,Ephrin type-A receptor 2,EPHA2,INHIBITOR
DASATINIB ANHYDROUS,4,Small molecule,1,,Mast/stem cell growth factor receptor Kit,KIT,INHIBITOR
DASATINIB ANHYDROUS,4,Small molecule,1,,Platelet-derived growth factor receptor beta,PDGFRB,INHIBITOR
DASATINIB ANHYDROUS,4,Small molecule,1,,SRC,YES1,INHIBITOR
DASATINIB ANHYDROUS,4,Small molecule,1,,Tyrosine-protein kinase ABL1,ABL1,INHIBITOR
DAUNORUBICIN,4,Small molecule,1,,DNA,,INHIBITOR
DAUNORUBICIN,4,Small molecule,1,,DNA topoisomerase 2-alpha,TOP2A,INHIBITOR
DAUNORUBICIN CITRATE,4,Small molecule,1,,DNA,,INHIBITOR
DAUNORUBICIN CITRATE,4,Small molecule,1,,DNA topoisomerase 2-alpha,TOP2A,INHIBITOR
DAUNORUBICIN HYDROCHLORIDE,4,Small molecule,1,,DNA,,INHIBITOR
DAUNORUBICIN HYDROCHLORIDE,4,Small molecule,1,,DNA topoisomerase 2-alpha,TOP2A,INHIBITOR
DEBRISOQUIN,2,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
DECAMETHONIUM BROMIDE,4,Small molecule,1,,Muscle-type nicotinic acetylcholine receptor,CHRNG,PARTIAL AGONIST
DECITABINE,4,Small molecule,1,,DNA,,INHIBITOR
DECITABINE,4,Small molecule,1,,DNA (cytosine-5)-methyltransferase 1,DNMT1,INHIBITOR
DECITABINE,4,Small molecule,1,,DNA (cytosine-5)-methyltransferase 3A,DNMT3A,INHIBITOR
DEFERASIROX,4,Small molecule,1,,Iron,,CHELATING AGENT
DEFEROXAMINE MESYLATE,4,Small molecule,1,,Iron,,CHELATING AGENT
DEFLAZACORT,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
DELAFLOXACIN MEGLUMINE,4,Small molecule,1,,Bacterial DNA gyrase,gyrB,INHIBITOR
DELAFLOXACIN MEGLUMINE,4,Small molecule,1,,Topoisomerase IV,parE,INHIBITOR
DELAMANID,4,Small molecule,1,,Mycobacterium tuberculosis H37Rv,,INHIBITOR
DELAVIRDINE MESYLATE,4,Small molecule,1,,Human immunodeficiency virus type 1 reverse transcriptase,pol,INHIBITOR
DEMECARIUM BROMIDE,4,Small molecule,1,,Acetylcholinesterase,ACHE,INHIBITOR
DEMECLOCYCLINE HYDROCHLORIDE,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
DEOXYCHOLIC ACID,4,Small molecule,1,,Cell membrane,,DISRUPTING AGENT
DESERPIDINE,4,Small molecule,1,,Synaptic vesicular amine transporter,SLC18A2,INHIBITOR
DESFLURANE,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
DESFLURANE,4,Small molecule,1,,Glycine receptor (alpha-1/beta),GLRB,POSITIVE MODULATOR
DESFLURANE,4,Small molecule,1,,Potassium channel subfamily K member 10,KCNK10,OPENER
DESFLURANE,4,Small molecule,1,,Potassium channel subfamily K member 18,KCNK18,OPENER
DESFLURANE,4,Small molecule,1,,Potassium channel subfamily K member 2,KCNK2,OPENER
DESFLURANE,4,Small molecule,1,,Potassium channel subfamily K member 3,KCNK3,OPENER
DESFLURANE,4,Small molecule,1,,Potassium channel subfamily K member 9,KCNK9,OPENER
DESIPRAMINE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
DESLANOSIDE,4,Small molecule,1,,Sodium/potassium-transporting ATPase,FXYD2,INHIBITOR
DESLORATADINE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
DESOGESTREL,4,Small molecule,1,,Progesterone receptor,PGR,AGONIST
DESONIDE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
DESOXIMETASONE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
DESOXYCORTICOSTERONE ACETATE,4,Small molecule,1,,Mineralocorticoid receptor,NR3C2,AGONIST
DESOXYCORTICOSTERONE PIVALATE,4,Small molecule,1,,Mineralocorticoid receptor,NR3C2,AGONIST
DESVENLAFAXINE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
DESVENLAFAXINE,4,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
DESVENLAFAXINE FUMARATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
DESVENLAFAXINE FUMARATE,4,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
DESVENLAFAXINE SUCCINATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
DESVENLAFAXINE SUCCINATE,4,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
DEUCRAVACITINIB,4,Small molecule,1,,Non-receptor tyrosine-protein kinase TYK2,TYK2,NEGATIVE ALLOSTERIC MODULATOR
DEURUXOLITINIB PHOSPHATE,4,Small molecule,1,,Non-receptor tyrosine-protein kinase TYK2,TYK2,INHIBITOR
DEURUXOLITINIB PHOSPHATE,4,Small molecule,1,,Tyrosine-protein kinase JAK1,JAK1,INHIBITOR
DEURUXOLITINIB PHOSPHATE,4,Small molecule,1,,Tyrosine-protein kinase JAK2,JAK2,INHIBITOR
DEURUXOLITINIB PHOSPHATE,4,Small molecule,1,,Tyrosine-protein kinase JAK3,JAK3,INHIBITOR
DEUTETRABENAZINE,4,Small molecule,1,,Synaptic vesicular amine transporter,SLC18A2,INHIBITOR
DEUTIVACAFTOR,4,Small molecule,1,,Cystic fibrosis transmembrane conductance regulator,CFTR,ACTIVATOR
DEXAMETHASONE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
DEXAMETHASONE ACETATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
DEXAMETHASONE SODIUM PHOSPHATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
DEXBROMPHENIRAMINE MALEATE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
DEXCHLORPHENIRAMINE MALEATE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
DEXFENFLURAMINE HYDROCHLORIDE,4,Small molecule,1,,Serotonin (5-HT) receptor,HTR7,AGONIST
DEXIBUPROFEN,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
DEXKETOPROFEN,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
DEXLANSOPRAZOLE,4,Small molecule,1,,Potassium-transporting ATPase,ATP4B,INHIBITOR
DEXMEDETOMIDINE HYDROCHLORIDE,4,Small molecule,1,,Adrenergic receptor alpha-2,ADRA2C,AGONIST
DEXMETHYLPHENIDATE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,INHIBITOR
DEXMETHYLPHENIDATE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
DEXRAZOXANE,4,Small molecule,1,,DNA topoisomerase II,TOP2B,INHIBITOR
DEXRAZOXANE,4,Small molecule,1,,Iron,,SEQUESTERING AGENT
DEXRAZOXANE HYDROCHLORIDE,4,Small molecule,1,,DNA topoisomerase II,TOP2B,INHIBITOR
DEXRAZOXANE HYDROCHLORIDE,4,Small molecule,1,,Iron,,CHELATING AGENT
DEXTROAMPHETAMINE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,RELEASING AGENT
DEXTROAMPHETAMINE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,RELEASING AGENT
DEXTROAMPHETAMINE,4,Small molecule,1,,Synaptic vesicular amine transporter,SLC18A2,INHIBITOR
DEXTROAMPHETAMINE ADIPATE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,RELEASING AGENT
DEXTROAMPHETAMINE ADIPATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,RELEASING AGENT
DEXTROAMPHETAMINE ADIPATE,4,Small molecule,1,,Synaptic vesicular amine transporter,SLC18A2,INHIBITOR
DEXTROAMPHETAMINE SACCHARATE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,RELEASING AGENT
DEXTROAMPHETAMINE SACCHARATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,RELEASING AGENT
DEXTROAMPHETAMINE SACCHARATE,4,Small molecule,1,,Synaptic vesicular amine transporter,SLC18A2,INHIBITOR
DEXTROAMPHETAMINE SULFATE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,RELEASING AGENT
DEXTROAMPHETAMINE SULFATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,RELEASING AGENT
DEXTROAMPHETAMINE SULFATE,4,Small molecule,1,,Synaptic vesicular amine transporter,SLC18A2,INHIBITOR
DEXTROMETHORPHAN HYDROBROMIDE,4,Small molecule,1,,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A,ANTAGONIST
DEXTROMETHORPHAN HYDROBROMIDE,4,Small molecule,1,,Sigma non-opioid intracellular receptor 1,SIGMAR1,AGONIST
DEXTROMETHORPHAN POLISTIREX,4,Small molecule,1,,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A,ANTAGONIST
DEXTROMETHORPHAN POLISTIREX,4,Small molecule,1,,Sigma non-opioid intracellular receptor 1,SIGMAR1,AGONIST
DEXTROMORAMIDE,2,Small molecule,1,,Opioid receptors; mu/kappa/delta,OPRM1,AGONIST
DEXTROTHYROXINE,4,Small molecule,1,,Thyroid hormone receptor,THRB,AGONIST
DEXTROTHYROXINE SODIUM,4,Small molecule,1,,Thyroid hormone receptor,THRB,AGONIST
DEZOCINE,4,Small molecule,1,,Kappa-type opioid receptor,OPRK1,ANTAGONIST
DEZOCINE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,PARTIAL AGONIST
DIAZEPAM,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
DIAZOXIDE,4,Small molecule,1,,ATP-sensitive inward rectifier potassium channel 11,KCNJ11,OPENER
DIAZOXIDE,4,Small molecule,1,,ATP-sensitive inward rectifier potassium channel 8,KCNJ8,OPENER
DIBENZEPIN,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
DIBENZEPIN,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
DIBUCAINE HYDROCHLORIDE,4,Small molecule,1,,Sodium channel protein type 10 subunit alpha,SCN10A,BLOCKER
DIBUCAINE HYDROCHLORIDE,4,Small molecule,1,,Sodium channel protein type 5 subunit alpha,SCN5A,BLOCKER
DICHLORPHENAMIDE,4,Small molecule,1,,Carbonic anhydrase 1,CA1,INHIBITOR
DICHLORPHENAMIDE,4,Small molecule,1,,Carbonic anhydrase 12,CA12,INHIBITOR
DICHLORPHENAMIDE,4,Small molecule,1,,Carbonic anhydrase 2,CA2,INHIBITOR
DICHLORPHENAMIDE,4,Small molecule,1,,Carbonic anhydrase 4,CA4,INHIBITOR
DICLOFENAC,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
DICLOFENAC EPOLAMINE,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
DICLOFENAC POTASSIUM,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
DICLOFENAC SODIUM,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
DICLOXACILLIN SODIUM,4,Small molecule,1,,Penicillin-binding protein,pbpF,INHIBITOR
DICOBALT EDETATE,2,Small molecule,1,,Cyanide,,SEQUESTERING AGENT
DICUMAROL,4,Small molecule,1,,Vitamin K epoxide reductase complex subunit 1,VKORC1,INHIBITOR
DICYCLOMINE HYDROCHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
DICYCLOMINE HYDROCHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
DIDANOSINE,4,Small molecule,1,,Human immunodeficiency virus type 1 reverse transcriptase,pol,INHIBITOR
DIENESTROL,4,Small molecule,1,,Estrogen receptor,ESR1,AGONIST
DIETHYLCARBAMAZINE CITRATE,4,Small molecule,1,,Nematode GABA-A receptor,,POSITIVE MODULATOR
DIETHYLPROPION HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,INHIBITOR
DIETHYLPROPION HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
DIETHYLSTILBESTROL,4,Small molecule,1,,Estrogen receptor,ESR1,AGONIST
DIETHYLSTILBESTROL DIPHOSPHATE,4,Small molecule,1,,Estrogen receptor,ESR2,AGONIST
DIFENOXIN HYDROCHLORIDE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
DIFLORASONE DIACETATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
DIFLUNISAL,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
DIFLUPREDNATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
DIGITOXIN,4,Small molecule,1,,Sodium/potassium-transporting ATPase,FXYD2,INHIBITOR
DIGOXIN,4,Small molecule,1,,Sodium/potassium-transporting ATPase,FXYD2,INHIBITOR
DIHYDROCODEINE BITARTRATE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
DIHYDROERGOTAMINE MESYLATE,4,Small molecule,1,,5-hydroxytryptamine receptor 1D,HTR1D,AGONIST
DIHYDROTACHYSTEROL,2,Small molecule,1,,Vitamin D3 receptor,VDR,AGONIST
DILTIAZEM HYDROCHLORIDE,4,Small molecule,1,,Voltage-gated L-type calcium channel,CACNA1S,BLOCKER
DILTIAZEM MALATE,4,Small molecule,1,,Voltage-gated L-type calcium channel,CACNA1S,BLOCKER
DIMENHYDRINATE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
DIMERCAPROL,4,Small molecule,1,,Heavy metals,,CHELATING AGENT
DIMETHINDENE,3,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
DIMETHYL FUMARATE,4,Small molecule,1,,Kelch-like ECH-associated protein 1,KEAP1,INHIBITOR
DINOPROST TROMETHAMINE,4,Small molecule,1,,Prostaglandin F2-alpha receptor,PTGFR,AGONIST
DINOPROSTONE,4,Small molecule,1,,Prostaglandin E2 receptor,PTGER4,AGONIST
DIPHEMANIL METHYLSULFATE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
DIPHEMANIL METHYLSULFATE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
DIPHENHYDRAMINE CITRATE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
DIPHENHYDRAMINE HYDROCHLORIDE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
DIPHENIDOL HYDROCHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
DIPHENOXYLATE HYDROCHLORIDE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
DIPHENYLPYRALINE HYDROCHLORIDE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
DIPIVEFRIN HYDROCHLORIDE,4,Small molecule,1,,Adrenergic receptor,ADRB3,AGONIST
DIPYRIDAMOLE,4,Small molecule,1,,"3',5'-cyclic phosphodiesterase",PDE9A,INHIBITOR
DIPYRIDAMOLE,4,Small molecule,1,,Equilibrative nucleoside transporter 1,SLC29A1,INHIBITOR
DIRITHROMYCIN,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
DIROXIMEL FUMARATE,4,Small molecule,1,,Kelch-like ECH-associated protein 1,KEAP1,INHIBITOR
DISOPYRAMIDE PHOSPHATE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
DISTIGMINE,2,Small molecule,1,,Acetylcholinesterase,ACHE,INHIBITOR
DISULFIRAM,4,Small molecule,1,,"Aldehyde dehydrogenase, mitochondrial",ALDH2,INHIBITOR
DIVALPROEX SODIUM,4,Small molecule,1,,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,INHIBITOR
DOBUTAMINE HYDROCHLORIDE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,AGONIST
DOBUTAMINE HYDROCHLORIDE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
DOCETAXEL,4,Small molecule,1,,Tubulin,TUBB8,INHIBITOR
DOCETAXEL ANHYDROUS,4,Small molecule,1,,Tubulin,TUBB8,STABILISER
DOCOSANOL,4,Small molecule,1,,Envelope glycoprotein,gN,INHIBITOR
DOFETILIDE,4,Small molecule,1,,Voltage-gated inwardly rectifying potassium channel KCNH2,KCNH2,BLOCKER
DOLASETRON MESYLATE,4,Small molecule,1,,5-hydroxytryptamine receptor 3A,HTR3A,ANTAGONIST
DOLUTEGRAVIR SODIUM,4,Small molecule,1,,Human immunodeficiency virus type 1 integrase,pol,INHIBITOR
DOMPERIDONE,3,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
DONEPEZIL HYDROCHLORIDE,4,Small molecule,1,,Acetylcholinesterase,ACHE,INHIBITOR
DOPAMINE HYDROCHLORIDE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,AGONIST
DORAVIRINE,4,Small molecule,1,,Human immunodeficiency virus type 1 reverse transcriptase,pol,NEGATIVE ALLOSTERIC MODULATOR
DORIPENEM,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
DORIPENEM MONOHYDRATE,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
DORZOLAMIDE HYDROCHLORIDE,4,Small molecule,1,,Carbonic anhydrase 2,CA2,INHIBITOR
DOTHIEPIN,2,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
DOTHIEPIN,2,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
DOXACURIUM CHLORIDE,4,Small molecule,1,,Muscle-type nicotinic acetylcholine receptor,CHRNG,ANTAGONIST
DOXAPRAM HYDROCHLORIDE,4,Small molecule,1,,Potassium channel subfamily K member 3,KCNK3,BLOCKER
DOXAPRAM HYDROCHLORIDE,4,Small molecule,1,,Potassium channel subfamily K member 9,KCNK9,BLOCKER
DOXAZOSIN MESYLATE,4,Small molecule,1,,Adrenergic receptor alpha-1,ADRA1D,ANTAGONIST
DOXEPIN,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
DOXEPIN HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
DOXERCALCIFEROL,4,Small molecule,1,,Vitamin D3 receptor,VDR,AGONIST
DOXORUBICIN HYDROCHLORIDE,4,Small molecule,1,,DNA,,INHIBITOR
DOXORUBICIN HYDROCHLORIDE,4,Small molecule,1,,DNA topoisomerase 2-alpha,TOP2A,INHIBITOR
DOXYCYCLINE,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
DOXYCYCLINE,4,Small molecule,1,,Collagenase 3,MMP13,INHIBITOR
DOXYCYCLINE,4,Small molecule,1,,Interstitial collagenase,MMP1,INHIBITOR
DOXYCYCLINE,4,Small molecule,1,,Matrilysin,MMP7,INHIBITOR
DOXYCYCLINE,4,Small molecule,1,,Neutrophil collagenase,MMP8,INHIBITOR
DOXYCYCLINE CALCIUM,4,Small molecule,1,,Collagenase 3,MMP13,INHIBITOR
DOXYCYCLINE CALCIUM,4,Small molecule,1,,Interstitial collagenase,MMP1,INHIBITOR
DOXYCYCLINE CALCIUM,4,Small molecule,1,,Matrilysin,MMP7,INHIBITOR
